,product_id,tags,tags_value
64,5aec22cec25735338c544690,"Summer,Shorts,Rompers,Casual,Ladies,Women's Fashion,Fashion,off shoulder,sexy,Floral,sleeveless,Women,Beach,playsuit,jumpsuit",15
65,5ec5cf37cd3da70de19c3f18,"Summer,V Collar,Plus Size,Stitching,Sleeve,Dresses,Dress,summer dress,long dress,short sleeves,Casual,ladies dress,Women's Fashion,Shorts,Women,Ladies,women dress,Short Sleeved,Cotton,Collar,casual dress",21
66,5d034039c822d263d90f58d4,"Summer,Plus Size,Cotton,summershirtsformen,Chinese,loose shirt,cottonlinenshirt,Tops,buttonup,short sleeves,men shirt,Men's Fashion,Fashion,Men,solid color,Shirt,camisamen,Clothing,basictshirt,beachshirt",20
67,5e940265ea3640c9ca0353aa,"Summer,Fashion,Necks,Skirts,Dress,Loose,Women's Fashion,Round neck,beach dress,sleeveless,Beach,Casual,Women",13
68,5c9ca27e5aee12258c2f341c,"Summer,soildcolor,Plus Size,Tank,camisole,Tops,Loose,tank top,Women's Fashion,Fashion,sleeveless tops,sleeveless,Women,Lace,Casual,summerampspring",16
69,5d29bc2ed35393550e31d6f3,"blouse,Plus Size,Summer,Dress,short sleeves,V-neck,beach dress,Fashion,Casual,Deep V-Neck,Shorts,Tops & Blouses,Sleeve,summer dress,Women's Fashion,Swimsuit,Party Dress,Ladies,party,linen dress,Beach,loose dress,Swimming",23
70,5e86c211d22ae539102d25c7,"Deep V-Neck,Summer,Plus Size,Tank,Shirt,rodeotank,Tops,Sleeveless Shirt,tank top,Women's Fashion,women shirt,V-neck,sleeveless,Design,T Shirts,Women,countrymusicshirt,Casual,countrythunder,printed",20
71,5d2407e66e8e037b4dd9fad3,"Summer,dress slim,Fashion,neck dress,Necks,Dress,slim,Round neck,Women's Fashion,Sleeveless dress,Flowers,Floral,sleeveless,printed,Casual,Women",16
72,5b0386696040cc41f2331c83,"Summer,Fashion,tunic,Ladies Fashion,asymmetric,Tops,tank top,Women's Fashion,Music,Ladies,Tank,Printed T Shirts,Women",13
73,5d5d038d99df1e17cc9313cf,"Summer,trousers,Casual pants,pants,Bottom,fashion pants,chiffonpant,Long pants,widelegpant,harem pants,summerpant,Plus Size,printed,Women's Fashion,Casual,Women",16
74,5ed0dfc51fa8446451b19c0d,"Vest,Fashion,Lace,V-neck,Women's Fashion,lacebra,sexy,silk,Casual,Women,Tank,Necks,casualsuspendertop,lace top,Tops,lace vest,slingtop,black,sleeveless",19
75,5eb0f23c904507255ca6530c,"blouse,Summer,Plus Size,Shirt,Heart,womens shirt,print shirt,Tops,short sleeves,Round neck,Funny,Women's Fashion,cute,Women,Casual,Necks",16
76,5e4267d60640954a435e64f5,"Summer,Shorts,Women,shortromper,Spaghetti,onepiece,Spaghetti Strap,One-Piece Suits,shortjumpsuit,Women's Fashion,Fashion,Casual,summerjumpsuit,sleeveless,Rompers,women Jumpsuit,playsuit,jumpsuit",18
77,5b29e5b5080ea2661b2287f6,"bandage top,Fashion,crop top,Halter,Summer,Women Set,elasticwaistshort,Women's Fashion,elastic waist,Casual,Women,Shorts,Waist,Elastic,Tops,pants,shortssuit,backless,Suits,Print,sleeveless,twopiecesset",22
78,5eafcf8a1f07813cd5404b52,"Summer,Plus Size,letter print,print shirt,summer t-shirts,short sleeves,Women's Fashion,Fashion,slimtop,slim,Women Fashion,Necks,rainbow,Shorts,Cotton Shirt,Shirt,Sleeve,graphic tee,Tops,Slim Fit,Round neck,women shirt,Tops & T-Shirts,Print,Cotton",25
79,5c91e1ecb14bfa747e277427,"Summer,sexy bathing suit,Bikinis Set,Swimwear,Swimsuit,Bikini,splitbikiniset,Fashion,Two Pieces,printed,Women's Fashion,Beach,splits",13
80,5ccd341e8cc067595fcba7c4,"Summer,Plus Size,Mini,Dress,Mini dress,Women's Fashion,Fashion,slingdres,sleeveless,women dress,Striped,Women,Casual,Cotton",14
81,5ec773b5967eb036b2c2e668,"blouse,Summer,Vest,Plus Size,Tank,Lace,Women Skirts,Shirt,Dress,Plus size top,Tops,lace blouse,Women's Fashion,Fashion,sleeveless,blousesampshirt,sexy,Women,Casual,Cotton",20
82,5de079e771151e6e9e85ee05,"Summer,Fashion,plus size dress,Dress,slim,V-neck,Women's Fashion,Plus Size,sleeveless,Floral,Party Dresses,Skirts,Casual,casual dress,Deep V-Neck,party,Slim Fit,print dress,Evening Dress,Ladies,women dress,Beach",22
83,5e97e0c7cb3cec329c7b4e98,"strappydre,Mini,summer dress,short dress,Summer,Shorts,Dress,Slim Fit,V-neck,Mini dress,Women's Fashion,Sleeveless dress,strappy,Plus Size,Sexy Dress,solid color,sexy,Fashion,sleeveless,Women",20
84,5ad987d8918dae087d633040,"blouse,Summer,Plus Size,Tank,Lace,Tops,topsamptshirt,tank top,Women's Fashion,Fashion,Loose,topsampblouse,Print,sleeveless,sexy,Cotton,Casual,Women",18
85,5cc67417a01bbd6b6c066df2,"blouse,Summer,Fashion,Lace,Tops,Loose,V-neck,Women's Fashion,Lace Up,Print,Short Sleeved,feather,Casual,Shirt",14
86,5d0b4268d5c8e1784b6e23b4,"Deep V-Neck,Summer,slingdresse,Plus Size,Floral,Necks,women dresses,Dresses,vestdresse,floralprinted,Women's Fashion,printed,Dress,summer dresses,tunicdresse,Casual,Women",17
87,5c061cf358603c4b35a19363,"bathing suit,two piece swimsuit,bikini set,Swimwear,Swimsuit,Bikini,bandage bikini,Push up bikini,Beach",9
88,5e5f5289a950c34147f0d94b,"Summer,Fashion,cottontee,Sleeve,Tops & Tees,Leopard,short sleeves,Shorts,Round neck,T Shirts,lipsshirt,lip,Tops & T-Shirts,Casual Tops,Women's Fashion,Casual,Women Fashion,Women",18
89,5cf5e44b3c8b9e101a5db52c,"Sleeveless dress,Summer,Dresses,Dress,slingdre,Floral dress,Women's Fashion,Party Dress,backless,V-neck,bohemian dress,Floral,summer dresses,printed,Women,sleeveless,casual dress",17
90,5d78eb19cc404c03393c83b5,"Summer,Plus Size,Dress,slim,short dress,Mini dress,Women's Fashion,Fashion,sleeveless,Party Dresses,Bodycon Dress,Women Fashion,casual dress,Shorts,Waist,Slim Fit,camouflage,Sleeveless dress,t,women dress,Women",21
92,544b079d1280fa28eee9b380,"Mini,Strapless Dress,Spaghetti Strap,Tank,Tops,slim,tank top,Mini dress,Women's Fashion,Fashion,Women,Dress,sleevelessdresse,bodycon,Spaghetti,Casual,casual dress",17
93,5b35cab04f75026255f2364a,"Summer,short sleeve dress,Mini,Pleated,t-shirt dress,beach dress,Fashion,pocketsdres,summer dresses,Casual,Cotton,Ladies Fashion,Tops,Ladies,women dress,Robes,Women,Beach,Plus Size,ruffle,Dress,short sleeves,Mini dress,Pocket,Women's Fashion,party,sexy,casual dress,Shorts,Tank,Sleeve,T Shirts,Cotton Dress,loose dress",34
94,5ebe0ead593b960eb1c82d0b,"blouse,Summer,Plus Size,Shirt,Sleeve,Tops,Loose,short sleeves,V-neck,T Shirts,Shorts,Fashion,Ladies,Women's Fashion,Casual,Women",16
95,5e958754a9136f26ddb12929,"Summer,Fashion,pants,widelegpant,Women's Fashion,trousers,solid color,Wool,Casual,Women",10
96,5eb8b430e015797901090ac0,"Summer,Two-Piece Suits,women crop top,pants,Tops,track suit,Outfits,Women's Fashion,Shorts,Clothes,Suits,Print,Women,short sleeve shirt,Sport,Fashion,Striped,Sports Wear,sexy Women's Fashion",19
97,5e7f13c2bd7ab15d52e9b5f9,"Summer,Vest,Plus Size,Floral print,splice,Loose,V-neck,Floral,Women's Fashion,Fashion,wavepoint,Print,Casual,Necks",14
99,5e9d55038d475a01721c1c7f,"Shorts,Waist,Casual pants,pants,summer shorts,Men,5pointspant,camouflage,Men's Fashion,Beach Shorts,t,Men Shorts,cargoshort,camouflageshort,Cotton",15
100,5eaa6d9c8d99eb3ec06709f4,"Summer,trousers,Tank,pants,Spring,Overalls,Women's Fashion,Fashion,black,Ladies,sleeveless,Wool,women Jumpsuit,Casual,jumpsuit",15
101,5a5db5398988991d7f7aec44,"Summer,off shoulder top,Plus Size,Lace,cute,topsamptshirt,short sleeves,cottontop,T Shirts,Outdoor,sexy,topsampblouse,slimtop,slim,Casual,Women Fashion,Cotton,blouse,Spaghetti,Shorts,Sleeve,lace top,Tops,spaghettistraptshirt,Print,Casual Tops,jackdanielsprinttop,Fashion",28
102,5e9fff5de4df1d32ef2ca70c,"Mens T Shirt,Fashion,Men's Fashion,Sleeve,Summer,Athletics,tshirtshort,Men,summer shorts,short sleeves,Casual,Cool T-Shirts,sportsshort,Shorts,fashionbrandsuit,3D T-shirt,fashion brand,men's shorts,menssummersuit,T Shirts",20
103,5a4b9eba2b0a1c3062666033,"Tops & Tees,Fashion,Slim T-shirt,Summer,Tops,bowtop,Women's Fashion,V-neck,Short top,womenhotshirt,T Shirts,Women S Clothing,off shoulder,Women,sexy,Bow,slim,Casual,Fitted,Cotton",20
104,5e1bd924d7be4445acfa8c6d,"runningshort,Beach Shorts,beachpant,Bottom,sailboatshort,Shorts,Sport,beach swimwear,Men's Fashion,Puma,Summer,Men Shorts,men's shorts,surfshort,Beach,Men",16
105,5c5fc9a63af7386b63c00d25,"Summer,womens dresses,Dress,Spaghetti Strap,Floral dress,kleider,beach dress,Party Dress,party,Floral,summer dresses,Spaghetti,Casual,casual dress,tunic,saty,Women's Fashion,Floral print,Print,sleeveless,sexy,Women,Beach",23
106,5e6bbe2bb683599ccbb78637,"Fashion,fit,pants,Brand,slim,Short pants,jogging,Shorts,printed,Men,Sport,Casual,trousers,Slim Fit",14
107,5b1f9afe694fab75ca9fa8ea,"bathing suit,bandage swimsuit,Fashion,leaf,bikini set,Summer,womenbra,Women's Fashion,strappy bikini,Swimsuit,Bikini,Two Pieces,printed,printedswimwear,Women,Beach,Swimming",17
108,5e9915ef9fae4f26f32f15df,"Summer,Plus Size,Dress,Spaghetti Strap,Ladies,Women's Fashion,Fashion,Floral,knee,Spaghetti,Casual,Floral print,summer dress,women's dress,Print,sleeveless",16
109,5c78151c27202a28a75752b7,"Summer,womens dresses,leaf,short dress,Sleeve,Mini,Dress,Loose,short sleeves,Mini dress,Necks,Women's Fashion,Shorts,leafprint,printed,Tops & T-Shirts,Women,Casual,casual dress",19
110,5e743eded2656b046017c719,"Summer,Shorts,Slim Fit,slim,twopiecesoutfit,V-neck,Women's Fashion,Fashion,tank top,Women,sexy,Sport,Casual,Women Fashion,Cotton",15
111,5acb7ae3a69e662bb0133546,"Mini,halter dress,Necks,Cocktail dresses,Halter,Dress,Lace Dress,backless dress,Mini dress,Women's Fashion,Party Dress,prom dress,retro,Ladies,sexy,sexy lace,backless",17
112,5eb90ab5ad67f63678d15ed9,"Summer,Shorts,Shirt,Sleeve,sportsset,short sleeves,Two piece set,lipprint,Ladies,women shorts,Fashion,lip,women t shirt,Round neck,Casual,Print,tracksuitsforwomen,runningset,Necks",19
113,5e9d3df803ee35376979fe40,"Summer,Fashion,Stitching,Lace,Denim,jeansforwomen,Women's Fashion,Shorts,Denim Shorts,sexy,Jeans,Women",12
